Date,Open,High,Low,Close,Adj Close,Volume
10/1/2016,131.339996,131.339996,129.860001,129.860001,129.860001,4
11/1/2016,129.860001,129.860001,118.349998,118.349998,118.349998,227
12/1/2016,118.349998,118.349998,115.610001,115.610001,115.610001,8
1/1/2017,115.610001,117.970001,115.610001,117.970001,117.970001,338
2/1/2017,117.970001,119.510002,117.379997,119,119,198
3/1/2017,119,119,118.5,118.5,118.5,440
4/1/2017,119.949997,121,119.589996,119.589996,119.589996,307
5/1/2017,119.589996,122.32,119.589996,122.32,122.32,362
6/1/2017,122.32,122.610001,122.32,122.610001,122.610001,5
7/1/2017,120.599998,120.599998,119.779999,120.440002,120.440002,874
8/1/2017,120.440002,121.660004,120.050003,120.940002,120.940002,2221
9/1/2017,120.940002,122.690002,119.220001,119.410004,119.410004,242
10/1/2017,119.410004,119.709999,117.510002,118.480003,118.480003,2310
11/1/2017,119.199997,121.540001,119.199997,121.540001,121.540001,489
12/1/2017,121.540001,122.120003,120.470001,120.470001,120.470001,372
1/1/2018,120.470001,120.470001,119.769997,119.769997,119.769997,360
2/1/2018,119.769997,119.940002,118,119.940002,119.940002,675
3/1/2018,119.940002,123.07,119.940002,123.07,123.07,122
4/1/2018,123.07,123.07,117.699997,117.699997,117.699997,79
5/1/2018,117.699997,121.330002,117.330002,121.330002,121.330002,1319
6/1/2018,121.330002,121.620003,121,121.43,121.43,378
7/1/2018,121.43,122.660004,121.160004,121.470001,121.470001,912
8/1/2018,121.349998,123.849998,121.349998,123.139999,123.139999,558
9/1/2018,123.139999,123.459999,121.160004,121.160004,121.160004,935
10/1/2018,121.160004,123,118.5,121.190002,121.190002,905
11/1/2018,120.620003,121.330002,118.790001,121.300003,121.300003,11561
12/1/2018,121.300003,125.18,121.300003,124.860001,124.860001,680
1/1/2019,124.860001,128.009995,124.860001,126.610001,126.610001,6781
2/1/2019,127.860001,130.020004,126.760002,129.429993,129.429993,5409
3/1/2019,129.429993,135.100006,128.440002,134.539993,134.539993,12913
4/1/2019,134.100006,134.100006,128.860001,130.690002,130.690002,12115
5/1/2019,132,136.300003,132,136.080002,136.080002,495
6/1/2019,136.5,140.330002,135.869995,139.759995,139.759995,10680
7/1/2019,139.380005,141.639999,137.779999,141.639999,141.639999,2523
8/1/2019,141.539993,147.179993,141.539993,146.830002,146.830002,2646
9/1/2019,146.679993,146.679993,141.809998,145.889999,145.889999,5695
10/1/2019,145.110001,147.429993,140.5,140.5,140.5,2209
11/1/2019,141.610001,143.229996,138.5,142.940002,142.940002,17272
12/1/2019,142.490005,142.490005,138,138,138,1381
1/1/2020,138,144.320007,136,143.610001,143.610001,1470
2/1/2020,144.75,146.610001,141.940002,146.610001,146.610001,30888
3/1/2020,147.089996,150.75,134.740005,145.5,145.5,14649
4/1/2020,147.020004,147.380005,141.419998,142.470001,142.470001,8832
5/1/2020,141.949997,143.550003,141.490005,143.110001,143.110001,7267
6/1/2020,142.399994,143.740005,139.710007,143.509995,143.509995,11522
7/1/2020,143,144,142.100006,144,144,8796
8/1/2020,145,145,141.110001,141.110001,141.110001,49902
9/1/2020,141.110001,144.860001,140.240005,144.360001,144.360001,3269
10/1/2020,144.360001,144.490005,141.669998,141.830002,141.830002,1309
11/1/2020,142.559998,143.649994,139.5,140.600006,140.600006,9882
12/1/2020,140.970001,140.970001,138.800003,140.410004,140.410004,2479
1/1/2021,140.410004,140.490005,137.800003,138.880005,138.880005,10013
2/1/2021,137.789993,138,128.229996,128.229996,128.229996,20620
3/1/2021,131.210007,133,128.869995,129.699997,129.699997,3480
4/1/2021,130.160004,132.059998,128.639999,129.029999,129.029999,3191
5/1/2021,129.410004,130.979996,128.399994,130.529999,130.529999,2948
6/1/2021,130.460007,133.529999,128.009995,132.789993,132.789993,35307
7/1/2021,132.820007,137.869995,132.759995,137.330002,137.330002,5222
8/1/2021,137.330002,138.660004,136.210007,138,138,4147
9/1/2021,136.839996,137.410004,133.089996,133.570007,133.570007,4026
10/1/2021,133.960007,133.960007,125,126.449997,126.449997,8696
11/1/2021,126.400002,128.990005,125.459999,128.929993,128.929993,44993
12/1/2021,128.509995,131.350006,124.5,130.339996,130.339996,1044
1/1/2022,130.339996,130.339996,125.519997,126.709999,126.709999,4385
2/1/2022,127.169998,127.419998,122.870003,124.050003,124.050003,4707
3/1/2022,124.360001,125.910004,117.019997,117.910004,117.910004,4394
4/1/2022,117.489998,118.279999,112.110001,112.110001,112.110001,16301
5/1/2022,112.099998,112.260002,109,110.809998,110.809998,7507
6/1/2022,110.809998,110.809998,103.5,108.519997,108.519997,51608
7/1/2022,108.669998,114.830002,108.669998,114.830002,114.830002,6147
8/1/2022,114.599998,115.269997,108.209999,109.949997,109.949997,16779
9/1/2022,108.599998,110.629997,105.690002,107.330002,107.330002,40100
10/1/2022,105.5,109.220001,102.949997,107.07,107.07,38937
11/1/2022,105.860001,109.220001,104.68,108.599998,108.599998,22692
12/1/2022,109.290001,115,104.879997,105.489998,105.489998,37358
1/1/2023,105.489998,111.300003,105.489998,110.120003,110.120003,8650
2/1/2023,109.970001,111.419998,106.5,107.489998,107.489998,25026
3/1/2023,107.160004,113.959999,106.650002,112.540001,112.540001,16739
4/1/2023,112.949997,113.830002,107.980003,110.019997,110.019997,53480
5/1/2023,110.019997,111,106.940002,108,108,29266
6/1/2023,108.300003,108.300003,104.800003,105.5,105.5,52125
7/1/2023,105.260002,106.279999,103,105.360001,105.360001,63868
8/1/2023,105.620003,107.629997,103.309998,105.82,105.82,70180
9/1/2023,105.830002,106.43,102.139999,102.790001,102.790001,89957
10/1/2023,102.790001,103.599998,97.150002,97.309998,97.309998,215481
11/1/2023,98.199997,102.269997,97,101.900002,101.900002,138000
12/1/2023,101.290001,105.889999,101,105.199997,105.199997,66217
1/1/2024,105.199997,105.599998,103,105.360001,105.360001,48462
2/1/2024,105.699997,106,103.5,105.040001,105.040001,47293
3/1/2024,104.599998,106.580002,104.209999,106.5,106.5,64756
4/1/2024,106,106.150002,100.400002,101.019997,101.019997,147968
5/1/2024,102,103.879997,100.699997,101.959999,101.959999,90721
6/1/2024,101.959999,106,101.959999,102.75,102.75,48297
7/1/2024,101.800003,104.800003,101.57,102.160004,102.160004,13903
,,,,,,
